location_name,sensor_id,sensor_name,latitude,longitude
Embassy Kathmandu,7710,pm25 µg/m³,27.738703,85.336206
Phora Durbar Kathman,7711,pm25 µg/m³,27.712464,85.315703
"Dhathutole, Handigaun",6530219,pm25 µg/m³,27.727502,85.330135
"Dabali, Handigaun",9235746,pm25 µg/m³,27.68189114,85.28707804
Gaushala Chowk (SC-01) - GD Labs,14153358,pm25 µg/m³,27.707763,85.343189
Baluwatar (SC-02) - GD Labs,14207425,pm25 µg/m³,27.7249438,85.331062
Lagankhel (SC - 05) - GD Labs,14272754,pm25 µg/m³,27.666459,85.323093
Sifal(SC-03)- GD Labs,14975414,pm25 µg/m³,27.710794,85.340591
Lamtangil (SC-04)- GD Labs,14976381,pm25 µg/m³,27.731368,85.336783
Pulchowk (SC-44) - GD Labs,14153468,pm25 µg/m³,27.6773887,85.3184176
Nakhipot (SC-08) - GD Labs,14153373,pm25 µg/m³,27.6510811,85.3178568
Sunakothi (SC - 06) - GD Labs,14153363,pm25 µg/m³,27.630412,85.320402
Chovar (SC - 07) - GD Labs,14153368,pm25 µg/m³,27.6662854,85.2937189
Taudaha (SC - 09) - GD Labs,14153378,pm25 µg/m³,27.651121,85.283954
"CEN-SR-25: Patako Chowk, Patan Durbar Square",14153463,pm25 µg/m³,27.673979,85.325392
Farsidol Relocated,14573141,pm25 µg/m³,27.609972,85.296917
CEN-SR-02: Farsidol Brick Factories,14153453,pm25 µg/m³,27.6175,85.2961
Shantichowk (SC-11) - GD Labs,14327494,pm25 µg/m³,27.7239866,85.2793095
Gothatar (SC-12) - GD Labs,14327776,pm25 µg/m³,27.7109112,85.3803717
Gokarneshwor (SC-13) - GD Labs,14335684,pm25 µg/m³,27.7206848,85.381682
Mahankal (SC-16) - GD Labs,14362965,pm25 µg/m³,27.7258555,85.3581047
Chhetrapati (SC - 19) - GD Labs,14363831,pm25 µg/m³,27.7119136,85.3061473
Tarakeswor (SC-14)-GD Labs,14363840,pm25 µg/m³,27.759667,85.289631
Golfutar (SC- 17) - GD Labs,14363845,pm25 µg/m³,27.74857,85.349052
Tankeshwor (SC- 18) - GD Labs,14363850,pm25 µg/m³,27.7003531,85.3015259
Teku Ward 12 (SC - 20) - GD Labs ,14415608,pm25 µg/m³,27.6988338,85.3041625
Ramkot (SC - 10) - GD Labs,14365294,pm25 µg/m³,27.695671,85.337428
Sundarighat (SC-23) - GD Labs,14371768,pm25 µg/m³,27.6737702,85.2948301
Kritipur Ward 3 (SC-25) - GD Labs,14372571,pm25 µg/m³,27.6774083,85.2727816
Tyanglaphat (SC - 21) - GD Labs,14372566,pm25 µg/m³,27.6861651,85.28026
Sanepa (SC - 22) - GD Labs,14372847,pm25 µg/m³,27.6854882,85.3091634
Balaju (SC-26)- GD Labs,14372576,pm25 µg/m³,27.738289,85.302611
Tarakeswor (SC-15)- GD Labs,14382736,pm25 µg/m³,27.759288,85.289453
Sitapaila (SC-30) - GD Labs,14564638,pm25 µg/m³,27.7093728,85.2808987
Tokha (SC-31) - GD Labs,14565153,pm25 µg/m³,27.7560283,85.3268462
Imadol(SC-27)- GD Labs,14565158,pm25 µg/m³,27.661062,85.347716
Balkumari(SC-28)- GD Labs,14565418,pm25 µg/m³,27.671069,85.338037
Tokha (SC - 32) - GD Labs,14565678,pm25 µg/m³,27.7376474,85.319391
Kaushaltar (SC - 33) GD labs,14566457,pm25 µg/m³,27.6724803,85.3617649
Kadhaghari (SC-42)-GD Labs,14623361,pm25 µg/m³,27.696521,85.369882
Jadibuti (SC-35)-GD Labs,14659111,pm25 µg/m³,27.682109,85.354791
Purano naikap (SC-29)-GD Labs,14802207,pm25 µg/m³,27.705718,85.255141
Khokana (SC-41)-GD Labs,14718256,pm25 µg/m³,27.637633,85.301661
Kupondole (SC-40)-GD Labs,14718801,pm25 µg/m³,27.689661,85.310442
Mid Baneshwor (SC-39)-GD Labs,14719352,pm25 µg/m³,27.693662,85.340501
Ranibari (SC-43)-GD Labs,14720442,pm25 µg/m³,27.727562,85.321155
Sorakhutte (SC-36)-GD Labs,14720447,pm25 µg/m³,27.71847,85.310271
Pulchowk (SC-15)-GD Labs,14792689,pm25 µg/m³,27.676946,85.318494
"Haugal Ganesh Temple, Patan Durbar Square",14793466,pm25 µg/m³,27.671944,85.324444
Tripureshowr (SC-24)- GD Labs,14974921,pm25 µg/m³,27.692998,85.312458
Bagdol,15374668,pm25 µg/m³,27.671706,85.301619
Pulchowk Engineering Campus - ICE Labs,15750367,pm25 µg/m³,27.681232,85.319189
Herne Katha,16162468,pm25 µg/m³,27.627613,85.352395
