location_name,sensor_id,sensor_name
Embassy Kathmandu,7710,pm25 µg/m³
Phora Durbar Kathman,7711,pm25 µg/m³
"Dhathutole, Handigaun",6530219,pm25 µg/m³
"Dabali, Handigaun",9235746,pm25 µg/m³
Gaushala Chowk (SC-01) - GD Labs,14153358,pm25 µg/m³
Baluwatar (SC-02) - GD Labs,14207425,pm25 µg/m³
Lagankhel (SC - 05) - GD Labs,14272754,pm25 µg/m³
Sifal(SC-03)- GD Labs,14975414,pm25 µg/m³
Lamtangil (SC-04)- GD Labs,14976381,pm25 µg/m³
Pulchowk (SC-44) - GD Labs,14153468,pm25 µg/m³
Nakhipot (SC-08) - GD Labs,14153373,pm25 µg/m³
Sunakothi (SC - 06) - GD Labs,14153363,pm25 µg/m³
Chovar (SC - 07) - GD Labs,14153368,pm25 µg/m³
Taudaha (SC - 09) - GD Labs,14153378,pm25 µg/m³
"CEN-SR-25: Patako Chowk, Patan Durbar Square",14153463,pm25 µg/m³
Bharatpur Ward no 27 office Meghauli,14153458,pm25 µg/m³
Farsidol Relocated,14573141,pm25 µg/m³
Hetauda Sub-Metropolitan City Office (CEN-SR-15),14564633,pm25 µg/m³
CEN-SR-02: Farsidol Brick Factories,14153453,pm25 µg/m³
Hetauda Udhyog Sang Office (CEN-SR-18),14171644,pm25 µg/m³
Shantichowk (SC-11) - GD Labs,14327494,pm25 µg/m³
Gothatar (SC-12) - GD Labs,14327776,pm25 µg/m³
Gokarneshwor (SC-13) - GD Labs,14335684,pm25 µg/m³
CEN_SR-09: Dhangadhdi Sub-metropolitan City Office,14355143,pm25 µg/m³
CEN-SR-14: Dhangadhi Sub-metropolitan Ward 8,14355424,pm25 µg/m³
Mahankal (SC-16) - GD Labs,14362965,pm25 µg/m³
Chhetrapati (SC - 19) - GD Labs,14363831,pm25 µg/m³
Tarakeswor (SC-14)-GD Labs,14363840,pm25 µg/m³
Golfutar (SC- 17) - GD Labs,14363845,pm25 µg/m³
Tankeshwor (SC- 18) - GD Labs,14363850,pm25 µg/m³
Teku Ward 12 (SC - 20) - GD Labs ,14415608,pm25 µg/m³
Ramkot (SC - 10) - GD Labs,14365294,pm25 µg/m³
Sundarighat (SC-23) - GD Labs,14371768,pm25 µg/m³
Kritipur Ward 3 (SC-25) - GD Labs,14372571,pm25 µg/m³
Tyanglaphat (SC - 21) - GD Labs,14372566,pm25 µg/m³
Sanepa (SC - 22) - GD Labs,14372847,pm25 µg/m³
Balaju (SC-26)- GD Labs,14372576,pm25 µg/m³
"CEN-SR-17: Bhaluwang, Dang",14374446,pm25 µg/m³
CEN-SR-08/ Birendranagar Municipality,14378957,pm25 µg/m³
Tarakeswor (SC-15)- GD Labs,14382736,pm25 µg/m³
CEN-SR-10: Siddharthanagar Municipality Ward no. 4,14382741,pm25 µg/m³
CEN-SR-07: Siddharthanagar Municipality City Office Ward No. 5,14382199,pm25 µg/m³
CEN-SR-16: Pokhara Metropolitan City Ward No. 7 Office,14390316,pm25 µg/m³
"CEN-SR-12: Lamahi Municipality Office, Dang",14475463,pm25 µg/m³
CEN-SR-22:Birendranagar Ward 12 Sahakari Chowk,14476519,pm25 µg/m³
"CEN-SR-05: Shree Vindhyavasini Secondary School, Pokhara",14548529,pm25 µg/m³
Sitapaila (SC-30) - GD Labs,14564638,pm25 µg/m³
Tokha (SC-31) - GD Labs,14565153,pm25 µg/m³
Imadol(SC-27)- GD Labs,14565158,pm25 µg/m³
Balkumari(SC-28)- GD Labs,14565418,pm25 µg/m³
Tokha (SC - 32) - GD Labs,14565678,pm25 µg/m³
Kaushaltar (SC - 33) GD labs,14566457,pm25 µg/m³
CEN-SR-04: Birgunj Metropolitan City Ward No 25,14573146,pm25 µg/m³
Kadhaghari (SC-42)-GD Labs,14623361,pm25 µg/m³
Jadibuti (SC-35)-GD Labs,14659111,pm25 µg/m³
CEN-SR-13: Birgunj Metropolitan City Office,14675083,pm25 µg/m³
Purano naikap (SC-29)-GD Labs,14802207,pm25 µg/m³
CEN-SR-11: Janakpurdham Sub-metropolitian City Office,14727142,pm25 µg/m³
CEN-SR-03:Biratnagar metropolitan city office ,14717154,pm25 µg/m³
Khokana (SC-41)-GD Labs,14718256,pm25 µg/m³
Kupondole (SC-40)-GD Labs,14718801,pm25 µg/m³
Mid Baneshwor (SC-39)-GD Labs,14719352,pm25 µg/m³
Ranibari (SC-43)-GD Labs,14720442,pm25 µg/m³
Sorakhutte (SC-36)-GD Labs,14720447,pm25 µg/m³
CEN-SR-06: Biratnagar Metropolitan City ward no 9 Office,14731541,pm25 µg/m³
Pulchowk (SC-15)-GD Labs,14792689,pm25 µg/m³
"Haugal Ganesh Temple, Patan Durbar Square",14793466,pm25 µg/m³
"CEN-SR-20: Janakpurdham SMC-08, Rajarshi Janak University",14793988,pm25 µg/m³
CEN-SR-19 : Bharatpur Ward 02,14869287,pm25 µg/m³
Tripureshowr (SC-24)- GD Labs,14974921,pm25 µg/m³
Kathmandu University,15286458,pm25 µg/m³
Kathmandu University,15286975,pm25 µg/m³
Kathmandu University,15286980,pm25 µg/m³
Bagdol,15374668,pm25 µg/m³
Pulchowk Engineering Campus - ICE Labs,15750367,pm25 µg/m³
Herne Katha,16162468,pm25 µg/m³
